"pitcherid","pitcher","pitch_type","p_throws","rockies","hb","ivb","velo","spin","nPitches"
543339,"Daniel Hudson","FF","R","COL",-6.39818181818182,12.9109090909091,95.2409090909091,2525.13636363636,22
543339,"Daniel Hudson","FF","R","Other",-7.6383932346723,15.4881183932347,95.1067653276956,2491.19238900634,473
543339,"Daniel Hudson","SI","R","COL",-12.27,8.79,95.75,2508.75,4
543339,"Daniel Hudson","SI","R","Other",-15.26,11.1022222222222,95.0759259259259,2441.75925925926,54
543339,"Daniel Hudson","SL","R","COL",0.988235294117647,4.50352941176471,88.1588235294118,2562.58823529412,17
543339,"Daniel Hudson","SL","R","Other",0.418775510204082,5.30938775510204,88.0224489795918,2567.14795918367,392
543518,"Scott McGough","FF","R","COL",-6.54,15.822,93.04,2401.95,20
543518,"Scott McGough","FF","R","Other",-8.25189591078067,18.4737546468401,93.0996282527881,2352.43866171004,269
543518,"Scott McGough","FS","R","COL",-5.08909090909091,6.10363636363636,85,1249.31818181818,22
543518,"Scott McGough","FS","R","Other",-6.93717791411043,8.44564417177914,85.0349693251534,1222.30061349693,163
543518,"Scott McGough","SI","R","Other",-13.6904347826087,15.9339130434783,93.4347826086957,2343.39130434783,23
543518,"Scott McGough","SL","R","COL",4.17818181818182,0.796363636363636,86.0181818181818,2630.36363636364,11
543518,"Scott McGough","SL","R","Other",4.92347826086957,4.27826086956522,87.2449275362319,2588.69565217391,69
544150,"Albert Suárez","CH","R","COL",-11.304,6.54,85.05,1890.2,10
544150,"Albert Suárez","CH","R","Other",-16.44768,7.89824,86.1306666666667,2020.45866666667,375
544150,"Albert Suárez","CU","R","COL",2.4768,-6.0336,78.296,2331.44,25
544150,"Albert Suárez","CU","R","Other",6.03232472324723,-6.98966789667897,79.0767527675277,2358.9557195572,271
544150,"Albert Suárez","FC","R","COL",3.94285714285714,5.78857142857143,85.5333333333333,2215.2380952381,21
544150,"Albert Suárez","FC","R","Other",2.58679518072289,8.0590843373494,86.3481927710843,2197.46265060241,415
544150,"Albert Suárez","FF","R","COL",-2.51076923076923,12.6061538461538,93.774358974359,2348.61538461538,39
544150,"Albert Suárez","FF","R","Other",-7.18306406685237,16.5461838440111,94.8294336118849,2386.46053853296,1077
544150,"Albert Suárez","PO","R","Other",-10.56,15.48,90.1,2257,1
570632,"José Ureña","CH","R","COL",-12.2133333333333,6.6,88.8333333333333,1797.55555555556,9
570632,"José Ureña","CH","R","Other",-15.4292163009404,8.59222570532915,88.6567398119122,1811.75862068966,319
570632,"José Ureña","FF","R","COL",-10.59,11.5875,95.65,2210,16
570632,"José Ureña","FF","R","Other",-13.1418947368421,13.0256842105263,96.5705263157895,2153.31578947368,95
570632,"José Ureña","PO","R","COL",-8.4,11.4,90,2096,1
570632,"José Ureña","SI","R","COL",-13.2428571428571,7.93714285714286,95.5392857142857,2213,28
570632,"José Ureña","SI","R","Other",-16.733487698987,8.15826338639653,95.9895803183792,2133.53835021708,691
570632,"José Ureña","SL","R","COL",-0.154736842105263,7.77157894736842,86.4026315789474,2353.47368421053,38
570632,"José Ureña","SL","R","Other",-2.68944937833037,8.60952042628774,87.0085257548845,NA,563
571760,"Andrew Heaney","CH","L","COL",12.6933333333333,4.64,83.9888888888889,2099.77777777778,9
571760,"Andrew Heaney","CH","L","Other",17.4837885462555,5.65638766519824,83.6938325991189,2106.29074889868,454
571760,"Andrew Heaney","CU","L","COL",-8.04,-5.04,75,2555,1
571760,"Andrew Heaney","CU","L","Other",-9.1934693877551,-6.59510204081633,75.5948979591837,2539.88775510204,98
571760,"Andrew Heaney","FC","L","Other",5.32,5.48,86.6333333333333,2315.33333333333,3
571760,"Andrew Heaney","FF","L","COL",12.4947368421053,11.7789473684211,91.0614035087719,2369.36842105263,57
